"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"EDV","ENDEAVOUR GROUP LIMITED","2021-06-24","Food & Staples Retailing",12895056122
"EEG","EMPIRE ENERGY GROUP LIMITED","1984-08-30","Energy",144279116
"EER","EAST ENERGY RESOURCES LIMITED","2007-12-19","Energy","N/A"
"EFE","EASTERN RESOURCES LIMITED","2008-05-16","Materials",35799719
"EGG","ENERO GROUP LIMITED","2004-04-30","Media & Entertainment",257972164
"EGH","EUREKA GROUP HOLDINGS LIMITED","2004-07-01","Real Estate",147055643
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","1981-02-12","Capital Goods",69440368
"EGN","ENGENCO LIMITED","2006-12-14","Capital Goods",146705585
"EGR","ECOGRAF LIMITED","2010-10-29","Materials",184636718
"EGY","ENERGY TECHNOLOGIES LIMITED","1992-10-22","Capital Goods",15247412
"EHE","ESTIA HEALTH LIMITED","2014-12-05","Health Care Equipment & Services",562099530
"EHL","EMECO HOLDINGS LIMITED","2006-07-28","Capital Goods",418037907
"EIQ","ECHOIQ LIMITED","2010-12-17","Software & Services",47559926
"EL8","ELEVATE URANIUM LTD","1985-10-23","Energy",133615423
"ELD","ELDERS LIMITED","1981-06-30","Food, Beverage & Tobacco",2093656560
"ELE","ELMORE LTD","1998-02-25","Materials",28633977
"ELO","ELMO SOFTWARE LIMITED","2017-06-29","Software & Services",287468895
"ELS","ELSIGHT LIMITED","2017-06-08","Technology Hardware & Equipment",63857488
"ELT","ELEMENTOS LIMITED","2009-12-23","Materials",118481496
"EM1","EMERGE GAMING LIMITED","1971-06-09","Media & Entertainment",17939758
"EM2","EAGLE MOUNTAIN MINING LIMITED","2018-03-16","Materials",105675590
"EMB","EMBELTON LIMITED","1974-01-01","Capital Goods",22463291
"EMD","EMYRIA LIMITED","2020-02-12","Health Care Equipment & Services",72875654
"EME","ENERGY METALS LTD","2005-09-09","Energy",37742996
"EMH","EUROPEAN METALS HOLDINGS LIMITED","2012-07-19","Materials",174879936
"EML","EML PAYMENTS LIMITED","2006-01-18","Software & Services",532180950
"EMN","EURO MANGANESE INC","2018-10-02","Materials",124345821
"EMP","EMPEROR ENERGY LIMITED","1987-06-05","Energy",8995749
"EMR","EMERALD RESOURCES NL","1994-07-22","Materials",705684106
"EMS","EASTERN METALS LIMITED","2021-10-25","Materials",10363107
"EMT","EMETALS LIMITED","2010-10-26","Not Applic",11900000
"EMU","EMU NL","2008-02-27","Materials",9896661
"EMUCA","EMU NL","2008-02-27","Materials",9896661
"EMV","EMVISION MEDICAL DEVICES LTD","2018-12-13","Health Care Equipment & Services",143250526
"ENA","ENSURANCE LTD","2011-09-23","Insurance",23793008
"ENN","ELANOR INVESTORS GROUP","2014-07-11","Consumer Services",240783752
"ENR","ENCOUNTER RESOURCES LIMITED","2006-03-24","Materials",42824272
"ENT","ENTERPRISE METALS LIMITED","2007-06-20","Materials",9025056
"ENV","ENOVA MINING LIMITED","2007-04-13","Materials",6095859
"ENX","ENEGEX LIMITED","2013-10-08","Materials",8322019
"EOF","ECOFIBRE LIMITED","2019-03-29","Pharmaceuticals, Biotechnology & Life Sciences",132612612
"EOL","ENERGY ONE LIMITED","2007-01-15","Software & Services",147587986
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","2000-10-23","Capital Goods",279945895
"EP1","E&P FINANCIAL GROUP LIMITED","2018-05-14","Diversified Financials",134289251
"EPM","ECLIPSE METALS LIMITED.","2011-02-17","Energy",51870413
"EPN","EPSILON HEALTHCARE LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",7931682
"EPX","EP&T GLOBAL LIMITED","2021-05-12","Software & Services",21671955
"EPY","EARLYPAY LTD","2010-02-23","Diversified Financials",150561837
"EQE","EQUUS MINING LIMITED","1995-12-12","Materials",30463467
"EQN","EQUINOX RESOURCES LIMITED.","2021-10-13","Materials",18145000
"EQR","EQ RESOURCES LIMITED","2006-06-06","Materials",81995403
